Board,Title_Tokens
hate_politics,助理 費 不夠 法制化
hate_politics,國防 預算 財劃法 公投
hate_politics,師傅 狗
hate_politics,大型 連鎖 超市 小雜 貨店 食安 問題
hate_politics,全部 人 演 騙
hate_politics,喊 倒 閣 是不是 國中 沒念 公民
hate_politics,陳琬惠 宜蘭 藍白合 最大 公約 數
hate_politics,陳亭妃 會 勸 林俊憲 不要 脫黨 參選
hate_politics,蔣經國 人 正派 兒子 廢 柴
hate_politics,藍白 不要 死要面子
hate_politics,放棄 陸籍 問題 到 共諜 依親 問題 by 王至劭
hate_politics,地 x 法
hate_politics,桃園 國中 生課 堂上 抽 電子 煙 煙油 驗出 喪
hate_politics,吳子嘉 吳宗憲 請去 小房 間 修理
hate_politics,助理 費 除罪 化惹議 韓國瑜 修法 不該 侵害
hate_politics,濱崎 澳門場 確定 取消
hate_politics,賴 連任 總統 辦
hate_politics,大 罷免 代表 主流 民意
hate_politics,應佳妤 正妹
hate_politics,以前 海珊 部隊 名字 聽
hate_politics,阿扁會 出現 陳媽祖 宣傳 車
hate_politics,叔叔 賴清德 徵召 選 基隆市 長 童子 瑋 靜待
hate_politics,黃國昌 幫 民意代表 除罪 化是 可恥 修法
hate_politics,國民黨 人 霸 凌到 離世 委員
hate_politics,台灣國 國王 卓榮泰
hate_politics,歡迎 韓國 人 來 中國 台灣 開演 場會
hate_politics,台灣 人才 慣 老 闆
hate_politics,陳水扁 開 節目 藍白 根本 暗爽
hate_politics,蔣氏 父子 以來 殺 人 無 罪
hate_politics,嘉義 梅山 鄉 公所 加碼 普發 鄉親 排隊
hate_politics,柯文 哲 說 要 處理 社子 島 問題
hate_politics,藍白愛 支那 台海 優先 填線 寶寶
hate_politics,謝典霖 謝衣鳳 優秀
hate_politics,自然人 證 愛台灣 關聯
hate_politics,賴 是不是 心知不 可能 連任
hate_politics,doig 開示 國民黨 貪污
hate_politics,賴鐵頭 要 讓 爛 龜 黨 低能 到 時候
hate_politics,阿扁 以前 讓 民進黨 顯得 低能
hate_politics,中國 人 不想 打
hate_politics,林俊憲 競選 帆布 要 變成 做 功德
hate_politics,撈 應該 比撈 助理 費 嚴重
hate_politics,藍白 助理 費進 立委 帳戶 監督 有力
hate_politics,嘴巴 說不 投降 身體 後 面 投降 辦
hate_politics,苗 博雅 說出
hate_politics,台灣 全民 認真 演習 會 掉 票
hate_politics,國民黨 推向 深淵 人 馬 囧 李 登 輝
hate_politics,民進黨 提倒 閣
hate_politics,立陶宛 拒絕 中國 台灣 代表 處 要求
hate_politics,實賴 總統 做出 想 談判 樣子
hate_politics,中國 推出 新國 標電動車 太神
hate_politics,牛煦庭 是不是 唬 爛 要 搏 版面
hate_politics,黃國昌 助理 費 法制化 堅持 公款 公用 沒
hate_politics,倒 閣 沒用 要 討論 倒 閣
hate_politics,藍白 要 醞釀 提倒 閣案
hate_politics,開戰 台灣 減 人 割地 賠款 接受
hate_politics,台派 理想 中國 犯台 日程表
hate_politics,賴皮 抱怨 老柯 裝死
hate_politics,總統 副 總統 選罷 法要 不要 修 罷免
hate_politics,吸 小草 票 應曉薇 女兒 突別 「 kp 」 徽章 吳
hate_politics,大學 副教授 指控 論文 抄 襲 大 翻 車 徐巧芯 預
